area,year,sex,age,educational_attainment,,value
armenia,2001,male,15 - 19,first level,,11394
armenia,2001,male,15 - 19,second level,,141237
armenia,2001,male,15 - 19,third level,,3341
armenia,2001,male,20 - 24,first level,,3751
armenia,2001,male,20 - 24,second level,,102641
armenia,2001,male,20 - 24,third level,,25158
armenia,2001,male,25 - 29,first level,,2090
armenia,2001,male,25 - 29,second level,,79392
armenia,2001,male,25 - 29,third level,,25729
armenia,2001,male,30 - 34,first level,,1625
armenia,2001,male,30 - 34,second level,,72629
armenia,2001,male,30 - 34,third level,,22530
armenia,2001,male,35 - 39,first level,,1900
armenia,2001,male,35 - 39,second level,,87397
armenia,2001,male,35 - 39,third level,,25338
armenia,2001,male,40 - 44,first level,,2383
armenia,2001,male,40 - 44,second level,,98921
armenia,2001,male,40 - 44,third level,,29969
armenia,2001,male,45 - 49,first level,,2188
armenia,2001,male,45 - 49,second level,,70975
armenia,2001,male,45 - 49,third level,,25538
armenia,2001,male,50 - 54,first level,,1780
armenia,2001,male,50 - 54,second level,,47800
armenia,2001,male,50 - 54,third level,,21434
armenia,2001,male,55 - 59,first level,,2154
armenia,2001,male,55 - 59,second level,,23784
armenia,2001,male,55 - 59,third level,,9593
armenia,2001,male,60 - 64,first level,,7600
armenia,2001,male,60 - 64,second level,,42688
armenia,2001,male,60 - 64,third level,,13476
armenia,2001,female,15 - 19,first level,,8573
armenia,2001,female,15 - 19,second level,,142915
armenia,2001,female,15 - 19,third level,,4427
armenia,2001,female,20 - 24,first level,,1927
armenia,2001,female,20 - 24,second level,,99639
armenia,2001,female,20 - 24,third level,,33561
armenia,2001,female,25 - 29,first level,,1340
armenia,2001,female,25 - 29,second level,,82717
armenia,2001,female,25 - 29,third level,,30685
armenia,2001,female,30 - 34,first level,,1173
armenia,2001,female,30 - 34,second level,,79304
armenia,2001,female,30 - 34,third level,,26673
armenia,2001,female,35 - 39,first level,,1532
armenia,2001,female,35 - 39,second level,,100053
armenia,2001,female,35 - 39,third level,,27347
armenia,2001,female,40 - 44,first level,,1927
armenia,2001,female,40 - 44,second level,,111378
armenia,2001,female,40 - 44,third level,,30743
armenia,2001,female,45 - 49,first level,,2243
armenia,2001,female,45 - 49,second level,,82896
armenia,2001,female,45 - 49,third level,,26942
armenia,2001,female,50 - 54,first level,,2744
armenia,2001,female,50 - 54,second level,,56813
armenia,2001,female,50 - 54,third level,,22434
armenia,2001,female,55 - 59,first level,,3255
armenia,2001,female,55 - 59,second level,,30354
armenia,2001,female,55 - 59,third level,,10079
armenia,2001,female,60 - 64,first level,,11573
armenia,2001,female,60 - 64,second level,,56329
armenia,2001,female,60 - 64,third level,,12140
azerbaijan,1999,male,15 - 19,first level,,2891
azerbaijan,1999,male,15 - 19,second level,,377470
azerbaijan,1999,male,15 - 19,third level,,0
azerbaijan,1999,male,20 - 24,first level,,1326
azerbaijan,1999,male,20 - 24,second level,,291722
azerbaijan,1999,male,20 - 24,third level,,19282
azerbaijan,1999,male,55 - 59,first level,,3848
azerbaijan,1999,male,55 - 59,second level,,73723
azerbaijan,1999,male,55 - 59,third level,,19654
azerbaijan,1999,male,60 - 64,first level,,10457
azerbaijan,1999,male,60 - 64,second level,,95076
azerbaijan,1999,male,60 - 64,third level,,18584
azerbaijan,1999,female,15 - 19,first level,,3252
azerbaijan,1999,female,15 - 19,second level,,371880
azerbaijan,1999,female,15 - 19,third level,,0
azerbaijan,1999,female,20 - 24,first level,,1988
azerbaijan,1999,female,20 - 24,second level,,311021
azerbaijan,1999,female,20 - 24,third level,,20970
azerbaijan,1999,female,55 - 59,first level,,12938
azerbaijan,1999,female,55 - 59,second level,,84487
azerbaijan,1999,female,55 - 59,third level,,9368
azerbaijan,1999,female,60 - 64,first level,,26535
azerbaijan,1999,female,60 - 64,second level,,101945
azerbaijan,1999,female,60 - 64,third level,,8389
bahrain,2001,male,15 - 19,first level,,19879
bahrain,2001,male,15 - 19,second level,,5483
bahrain,2001,male,15 - 19,third level,,0
bahrain,2001,male,20 - 24,first level,,10439
bahrain,2001,male,20 - 24,second level,,15458
bahrain,2001,male,20 - 24,third level,,1101
bahrain,2001,male,25 - 29,first level,,10659
bahrain,2001,male,25 - 29,second level,,15414
bahrain,2001,male,25 - 29,third level,,3661
bahrain,2001,male,30 - 34,first level,,10031
bahrain,2001,male,30 - 34,second level,,15075
bahrain,2001,male,30 - 34,third level,,4470
bahrain,2001,male,35 - 39,first level,,9134
bahrain,2001,male,35 - 39,second level,,13271
bahrain,2001,male,35 - 39,third level,,4803
bahrain,2001,male,40 - 44,first level,,8286
bahrain,2001,male,40 - 44,second level,,10455
bahrain,2001,male,40 - 44,third level,,4589
bahrain,2001,male,45 - 49,first level,,5708
bahrain,2001,male,45 - 49,second level,,7306
bahrain,2001,male,45 - 49,third level,,3958
bahrain,2001,male,50 - 54,first level,,3133
bahrain,2001,male,50 - 54,second level,,4303
bahrain,2001,male,50 - 54,third level,,2469
bahrain,2001,male,55 - 59,first level,,1387
bahrain,2001,male,55 - 59,second level,,1823
bahrain,2001,male,55 - 59,third level,,1266
bahrain,2001,male,60 - 64,first level,,800
bahrain,2001,male,60 - 64,second level,,801
bahrain,2001,male,60 - 64,third level,,586
bahrain,2001,female,15 - 19,first level,,17660
bahrain,2001,female,15 - 19,second level,,6344
bahrain,2001,female,15 - 19,third level,,0
bahrain,2001,female,20 - 24,first level,,4519
bahrain,2001,female,20 - 24,second level,,16489
bahrain,2001,female,20 - 24,third level,,1703
bahrain,2001,female,25 - 29,first level,,4409
bahrain,2001,female,25 - 29,second level,,12434
bahrain,2001,female,25 - 29,third level,,4332
bahrain,2001,female,30 - 34,first level,,5269
bahrain,2001,female,30 - 34,second level,,11201
