country,year,sex,age,type_of_household
armenia,2011,male,0 - 14,one-person household
armenia,2011,male,0 - 14,nuclear household
armenia,2011,male,0 - 14,couple with children
armenia,2011,male,0 - 14,couple without children
armenia,2011,male,0 - 14,single parent with children
armenia,2011,male,0 - 14,non-nuclear household
armenia,2011,male,0 - 14,other
armenia,2011,male,15 - 19,one-person household
armenia,2011,male,15 - 19,nuclear household
armenia,2011,male,15 - 19,couple with children
armenia,2011,male,15 - 19,couple without children
armenia,2011,male,15 - 19,single parent with children
armenia,2011,male,15 - 19,non-nuclear household
armenia,2011,male,15 - 19,other
armenia,2011,male,20 - 24,one-person household
armenia,2011,male,20 - 24,nuclear household
armenia,2011,male,20 - 24,couple with children
armenia,2011,male,20 - 24,couple without children
armenia,2011,male,20 - 24,single parent with children
armenia,2011,male,20 - 24,non-nuclear household
armenia,2011,male,20 - 24,other
armenia,2011,male,25 - 29,one-person household
armenia,2011,male,25 - 29,nuclear household
armenia,2011,male,25 - 29,couple with children
armenia,2011,male,25 - 29,couple without children
armenia,2011,male,25 - 29,single parent with children
armenia,2011,male,25 - 29,non-nuclear household
armenia,2011,male,25 - 29,other
armenia,2011,male,30 - 34,one-person household
armenia,2011,male,30 - 34,nuclear household
armenia,2011,male,30 - 34,couple with children
armenia,2011,male,30 - 34,couple without children
armenia,2011,male,30 - 34,single parent with children
armenia,2011,male,30 - 34,non-nuclear household
armenia,2011,male,30 - 34,other
armenia,2011,male,35 - 39,one-person household
armenia,2011,male,35 - 39,nuclear household
armenia,2011,male,35 - 39,couple with children
armenia,2011,male,35 - 39,couple without children
armenia,2011,male,35 - 39,single parent with children
armenia,2011,male,35 - 39,non-nuclear household
armenia,2011,male,35 - 39,other
armenia,2011,male,40 - 44,one-person household
armenia,2011,male,40 - 44,nuclear household
armenia,2011,male,40 - 44,couple with children
armenia,2011,male,40 - 44,couple without children
armenia,2011,male,40 - 44,single parent with children
armenia,2011,male,40 - 44,non-nuclear household
armenia,2011,male,40 - 44,other
armenia,2011,male,45 - 49,one-person household
armenia,2011,male,45 - 49,nuclear household
armenia,2011,male,45 - 49,couple with children
armenia,2011,male,45 - 49,couple without children
armenia,2011,male,45 - 49,single parent with children
armenia,2011,male,45 - 49,non-nuclear household
armenia,2011,male,45 - 49,other
armenia,2011,male,50 - 54,one-person household
armenia,2011,male,50 - 54,nuclear household
armenia,2011,male,50 - 54,couple with children
armenia,2011,male,50 - 54,couple without children
armenia,2011,male,50 - 54,single parent with children
armenia,2011,male,50 - 54,non-nuclear household
armenia,2011,male,50 - 54,other
armenia,2011,male,55 - 59,one-person household
armenia,2011,male,55 - 59,nuclear household
armenia,2011,male,55 - 59,couple with children
armenia,2011,male,55 - 59,couple without children
armenia,2011,male,55 - 59,single parent with children
armenia,2011,male,55 - 59,non-nuclear household
armenia,2011,male,55 - 59,other
armenia,2011,female,0 - 14,one-person household
armenia,2011,female,0 - 14,nuclear household
armenia,2011,female,0 - 14,couple with children
armenia,2011,female,0 - 14,couple without children
armenia,2011,female,0 - 14,single parent with children
armenia,2011,female,0 - 14,non-nuclear household
armenia,2011,female,0 - 14,other
armenia,2011,female,15 - 19,one-person household
armenia,2011,female,15 - 19,nuclear household
armenia,2011,female,15 - 19,couple with children
armenia,2011,female,15 - 19,couple without children
armenia,2011,female,15 - 19,single parent with children
armenia,2011,female,15 - 19,non-nuclear household
armenia,2011,female,15 - 19,other
armenia,2011,female,20 - 24,one-person household
armenia,2011,female,20 - 24,nuclear household
armenia,2011,female,20 - 24,couple with children
armenia,2011,female,20 - 24,couple without children
armenia,2011,female,20 - 24,single parent with children
armenia,2011,female,20 - 24,non-nuclear household
armenia,2011,female,20 - 24,other
armenia,2011,female,25 - 29,one-person household
armenia,2011,female,25 - 29,nuclear household
armenia,2011,female,25 - 29,couple with children
armenia,2011,female,25 - 29,couple without children
armenia,2011,female,25 - 29,single parent with children
armenia,2011,female,25 - 29,non-nuclear household
armenia,2011,female,25 - 29,other
armenia,2011,female,30 - 34,one-person household
armenia,2011,female,30 - 34,nuclear household
armenia,2011,female,30 - 34,couple with children
armenia,2011,female,30 - 34,couple without children
armenia,2011,female,30 - 34,single parent with children
armenia,2011,female,30 - 34,non-nuclear household
armenia,2011,female,30 - 34,other
armenia,2011,female,35 - 39,one-person household
armenia,2011,female,35 - 39,nuclear household
armenia,2011,female,35 - 39,couple with children
armenia,2011,female,35 - 39,couple without children
armenia,2011,female,35 - 39,single parent with children
armenia,2011,female,35 - 39,non-nuclear household
armenia,2011,female,35 - 39,other
armenia,2011,female,40 - 44,one-person household
armenia,2011,female,40 - 44,nuclear household
armenia,2011,female,40 - 44,couple with children
armenia,2011,female,40 - 44,couple without children
armenia,2011,female,40 - 44,single parent with children
armenia,2011,female,40 - 44,non-nuclear household
armenia,2011,female,40 - 44,other
armenia,2011,female,45 - 49,one-person household
armenia,2011,female,45 - 49,nuclear household
armenia,2011,female,45 - 49,couple with children
armenia,2011,female,45 - 49,couple without children
armenia,2011,female,45 - 49,single parent with children
armenia,2011,female,45 - 49,non-nuclear household
armenia,2011,female,45 - 49,other
armenia,2011,female,50 - 54,one-person household
armenia,2011,female,50 - 54,nuclear household
armenia,2011,female,50 - 54,couple with children
armenia,2011,female,50 - 54,couple without children
armenia,2011,female,50 - 54,single parent with children
armenia,2011,female,50 - 54,non-nuclear household
armenia,2011,female,50 - 54,other
armenia,2011,female,55 - 59,one-person household
armenia,2011,female,55 - 59,nuclear household
armenia,2011,female,55 - 59,couple with children
armenia,2011,female,55 - 59,couple without children
armenia,2011,female,55 - 59,single parent with children
armenia,2011,female,55 - 59,non-nuclear household
armenia,2011,female,55 - 59,other
armenia,2001,male,0 - 14,nuclear household
armenia,2001,male,0 - 14,non-nuclear household
armenia,2001,male,15 - 19,nuclear household
armenia,2001,male,15 - 19,non-nuclear household
armenia,2001,male,20 - 24,nuclear household
armenia,2001,male,20 - 24,non-nuclear household
armenia,2001,male,25 - 29,nuclear household
armenia,2001,male,25 - 29,non-nuclear household
armenia,2001,male,30 - 34,nuclear household
armenia,2001,male,30 - 34,non-nuclear household
armenia,2001,male,35 - 39,nuclear household
armenia,2001,male,35 - 39,non-nuclear household
armenia,2001,male,40 - 44,nuclear household
armenia,2001,male,40 - 44,non-nuclear household
armenia,2001,male,45 - 49,nuclear household
armenia,2001,male,45 - 49,non-nuclear household
armenia,2001,male,50 - 54,nuclear household
armenia,2001,male,50 - 54,non-nuclear household
armenia,2001,male,55 - 59,nuclear household
armenia,2001,male,55 - 59,non-nuclear household
armenia,2001,female,0 - 14,nuclear household
armenia,2001,female,0 - 14,non-nuclear household
armenia,2001,female,15 - 19,nuclear household
armenia,2001,female,15 - 19,non-nuclear household
armenia,2001,female,20 - 24,nuclear household
armenia,2001,female,20 - 24,non-nuclear household
armenia,2001,female,25 - 29,nuclear household
armenia,2001,female,25 - 29,non-nuclear household
armenia,2001,female,30 - 34,nuclear household
armenia,2001,female,30 - 34,non-nuclear household
armenia,2001,female,35 - 39,nuclear household
armenia,2001,female,35 - 39,non-nuclear household
armenia,2001,female,40 - 44,nuclear household
armenia,2001,female,40 - 44,non-nuclear household
armenia,2001,female,45 - 49,nuclear household
armenia,2001,female,45 - 49,non-nuclear household
armenia,2001,female,50 - 54,nuclear household
armenia,2001,female,50 - 54,non-nuclear household
armenia,2001,female,55 - 59,nuclear household
armenia,2001,female,55 - 59,non-nuclear household
australia,2016,male,0 - 14,one-person household
australia,2016,male,0 - 14,nuclear household
australia,2016,male,0 - 14,couple with children
australia,2016,male,0 - 14,couple without children
australia,2016,male,0 - 14,single parent with children
australia,2016,male,0 - 14,non-nuclear household
australia,2016,male,0 - 14,a single family nucleus and other persons
australia,2016,male,0 - 14,two or more familiy nuclei
australia,2016,male,0 - 14,other
australia,2016,male,15 - 19,one-person household
australia,2016,male,15 - 19,nuclear household
australia,2016,male,15 - 19,couple with children
australia,2016,male,15 - 19,couple without children
australia,2016,male,15 - 19,single parent with children
australia,2016,male,15 - 19,non-nuclear household
australia,2016,male,15 - 19,a single family nucleus and other persons
australia,2016,male,15 - 19,two or more familiy nuclei
australia,2016,male,15 - 19,other
australia,2016,male,20 - 24,one-person household
australia,2016,male,20 - 24,nuclear household
australia,2016,male,20 - 24,couple with children
australia,2016,male,20 - 24,couple without children
australia,2016,male,20 - 24,single parent with children
australia,2016,male,20 - 24,non-nuclear household
australia,2016,male,20 - 24,a single family nucleus and other persons
australia,2016,male,20 - 24,two or more familiy nuclei
